16 37 3.0
17 52 3.0
17 59 3.0
18 38 3.0
18 46 3.0
18 49 3.0
19 37 3.0
19 42 3.0
20 35 3.0
20 37 3.0
20 39 3.0
20 50 3.0
20 55 3.0
21 31 3.0
21 58 3.0
22 52 3.0
23 37 3.0
23 52 3.0
24 17 3.0
24 38 3.0
24 39 3.0
24 43 3.0
24 46 3.0
24 48 3.0
26 15 3.0
26 36 3.0
26 39 3.0
26 42 3.0
26 49 3.0
27 37 3.0
27 40 3.0
27 50 3.0
27 52 3.0
28 36 3.0
28 39 3.0
28 43 3.0
29 19 3.0
31 36 3.0
31 50 3.0
32 18 3.0
32 21 3.0
32 39 3.0
32 52 3.0
33 30 3.0
33 41 3.0
33 44 3.0
33 45 3.0
34 16 3.0
34 21 3.0
34 29 3.0
34 31 3.0
34 51 3.0
35 16 3.0
35 41 3.0
35 42 3.0
35 45 3.0
36 27 3.0
36 46 3.0
37 20 3.0
37 28 3.0
38 22 3.0
38 24 3.0
38 46 3.0
39 38 3.0
40 18 3.0
40 47 3.0
40 60 3.0
41 22 3.0
41 47 3.0
41 48 3.0
41 62 3.0
42 22 3.0
42 45 3.0
42 52 3.0
43 24 3.0
43 61 3.0
44 22 3.0
44 23 3.0
45 28 3.0
45 46 3.0
46 61 3.0
47 30 3.0
47 39 3.0
47 49 3.0
47 52 3.0
48 48 3.0
48 49 3.0
48 51 3.0
48 57 3.0
49 45 3.0
50 19 3.0
50 40 3.0
50 46 3.0
50 50 3.0
51 40 3.0
51 43 3.0
52 29 3.0
52 40 3.0
53 61 3.0
54 39 3.0
54 42 3.0
54 54 3.0
54 62 3.0
55 22 3.0
55 29 3.0
55 30 3.0
55 51 3.0
56 31 3.0
56 50 3.0
56 59 3.0
57 59 3.0
59 35 3.0
59 42 3.0
60 36 3.0
60 39 3.0
60 42 3.0
60 43 3.0
61 61 3.0
62 34 3.0
63 40 3.0
63 59 3.0
65 28 3.0
65 35 3.0
